territory,economyBranches,2016,2017
Брестская область,Промышленность,"3659,7","3850,5"
Витебская область,Промышленность,"494,9","509,1"
Гомельская область,Промышленность,"327,8","365,5"
Гродненская область,Промышленность,"311,2","350,1"
г. Минск,Промышленность,"455,5","521,2"
Минская область,Промышленность,"738,7","738,4"
Могилевская область,Промышленность,"1017,4","1023,2"
Республика Беларусь,Промышленность,"314,1","343,1"
Республика Беларусь,Горнодобывающая промышленность,"9,5",10
Республика Беларусь,Обрабатывающая промышленность,"3647,2","3835,6"
Республика Беларусь,"Производство продуктов питания, напитков и табачных изделий","925,3","1051,4"
Республика Беларусь,"Производство текстильных изделий, одежды, изделий из кожи и меха","454,6","539,3"
Республика Беларусь,Производство изделий из дерева и бумаги; полиграфическая деятельность и тиражирование записанных носителей информации,"169,9","145,5"
Республика Беларусь,Производство кокса и продуктов нефтепереработки,"25,8","27,9"
Республика Беларусь,Производство химических продуктов,"227,2","283,3"
Республика Беларусь,Производство основных фармацевтических продуктов и фармацевтических препаратов,"133,8","143,1"
Республика Беларусь,"Производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","307,5","348,1"
Республика Беларусь,"Металлургическое производство. Производство готовых металлических изделий, кроме машин и оборудования","104,7","126,5"
Республика Беларусь,"Производство вычислительной, электронной и оптической аппаратуры","79,2","110,4"
Республика Беларусь,Производство электрооборудования,"125,8","125,1"
Республика Беларусь,"Производство машин и оборудования, не включенных в другие группировки","533,1",521
Республика Беларусь,"Производство прочих готовых изделий; ремонт, монтаж машин и оборудования","184,4","168,2"
Республика Беларусь,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом","1,2","1,3"
Республика Беларусь,"Водоснабжение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений","1,8","3,6"
