territory,economyBranches,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Брестская область,Промышленность,45096,79871,110418,172616,213923,232622,271186,386450,515204,570303
Витебская область,Промышленность,44753,79845,122775,143626,182935,248013,244190,298380,485347,404500
Гомельская область,Промышленность,53889,109230,138368,158192,216528,327949,357803,431234,563776,538487
Гродненская область,Промышленность,34040,65748,90248,98507,139022,166376,245326,335841,515213,576451
г. Минск,Промышленность,118765,223875,286673,356509,472380,532759,621840,739471,1300925,1714369
Минская область,Промышленность,56605,107677,147777,183201,275998,245868,544360,637960,1020000,1160610
Могилевская область,Промышленность,49221,81673,116143,124791,169617,280761,253079,358337,556183,500367
Республика Беларусь,Промышленность,402369,747919,1012402,1237442,1670403,2034348,2537784,3187673,4956648,5465087
Республика Беларусь,Топливная промышленность,4205,18933,19972,39182,52489,97091,15613,69547,64455,29455
Республика Беларусь,Черная металлургия,8834,11005,13954,5150,20242,26892,31581,31367,50669,75742
Республика Беларусь,"Лесная, деревообрабатывающая и целлюлозно-бумажная промышленность",27206,46001,61065,76775,93015,112211,127251,144073,255024,236572
Республика Беларусь,Промышленность строительных материалов,15781,27949,30520,52754,61066,71979,90939,123813,227555,228144
Республика Беларусь,Легкая промышленность,59177,105363,137212,163934,200813,215120,245520,317497,431797,515931
Республика Беларусь,Пищевая промышленность,42160,71804,129789,229317,333037,298943,641822,747422,1100678,1111047
